"label","episode","n_unseen","n_learned","competitor_survival","n_runs"
"Choice set 100 (freq.)",40500,334.4,2.1,0.987335556961398,10
"Choice set 100 (freq.)",41000,331,2.1,0.986842051800599,10
"Choice set 100 (freq.)",41500,328.2,2.4,0.986415000097763,10
"Choice set 100 (freq.)",42000,324.2,2.4,0.987184929152205,10
"Choice set 100 (freq.)",42500,320,2.4,0.984514269701026,10
"Choice set 100 (freq.)",43000,317.1,2.5,0.987122730152419,10
"Choice set 100 (freq.)",43500,314.2,2.6,0.985343200198442,10
"Choice set 100 (freq.)",44000,311,2.7,0.986861719621357,10
"Choice set 100 (freq.)",44500,307.4,2.7,0.98723196871484,10
"Choice set 100 (freq.)",45000,304.3,2.8,0.986069151667283,10
"Choice set 100 (freq.)",45500,302,3,0.984794594462799,10
"Choice set 100 (freq.)",46000,299.3,3,0.984103943286049,10
"Choice set 100 (freq.)",46500,296.3,3.3,0.983575094641301,10
"Choice set 100 (freq.)",47000,293.6,3.4,0.985809348849001,10
"Choice set 100 (freq.)",47500,290.8,3.4,0.985789079998694,10
"Choice set 100 (freq.)",48000,288.5,3.7,0.985791880477791,10
"Choice set 100 (freq.)",48500,286,3.9,0.983678451457518,10
"Choice set 100 (freq.)",49000,283.2,4.2,0.985609114408284,10
"Choice set 100 (freq.)",49500,280.4,4.5,0.984058215324124,10
"Choice set 100 (freq.)",50000,277.7,4.7,0.983649318371709,10
"Choice set 100 (freq.)",50500,273.6,4.9,0.984765858257118,10
"Choice set 100 (freq.)",51000,270.2,5.1,0.984812712090755,10
"Choice set 100 (freq.)",51500,267.4,5.4,0.982556612368614,10
"Choice set 100 (freq.)",52000,263.9,5.8,0.984028423460021,10
"Choice set 100 (freq.)",52500,261.4,6.2,0.982007834381778,10
"Choice set 100 (freq.)",53000,259.4,6.7,0.981204859205875,10
"Choice set 100 (freq.)",53500,255.8,7.6,0.979774428575589,10
"Choice set 100 (freq.)",54000,252.6,8.4,0.981525117461078,10
"Choice set 100 (freq.)",54500,249,8.5,0.979658681884956,10
"Choice set 100 (freq.)",55000,246.4,8.8,0.979539987241784,10
"Choice set 100 (freq.)",55500,243.2,9.6,0.978825397470535,10
"Choice set 100 (freq.)",56000,239.9,10.1,0.97810883553454,10
"Choice set 100 (freq.)",56500,236.7,10.4,0.979279083116303,10
"Choice set 100 (freq.)",57000,233.6,11.1,0.980208058619474,10
"Choice set 100 (freq.)",57500,230.3,12.1,0.976121954514071,10
"Choice set 100 (freq.)",58000,226.2,13.3,0.976326736156734,10
"Choice set 100 (freq.)",58500,222.5,13.7,0.976746983769405,10
"Choice set 100 (freq.)",59000,219.8,14.4,0.975706933021741,10
"Choice set 100 (freq.)",59500,216.1,15.7,0.973764134060454,10
"Choice set 100 (freq.)",60000,212.3,17.5,0.970841604045427,10
"Choice set 100 (freq.)",60500,209,18.6,0.974581067826608,10
"Choice set 100 (freq.)",61000,205.7,19.5,0.973693162908624,10
"Choice set 100 (freq.)",61500,201.5,20.5,0.972562329615719,10
"Choice set 100 (freq.)",62000,197.4,22.8,0.967369805048928,10
"Choice set 100 (freq.)",62500,193.5,24.6,0.967388077589486,10
"Choice set 100 (freq.)",63000,189.4,25.8,0.96849506096402,10
"Choice set 100 (freq.)",63500,183.9,28.1,0.96294556845031,10
"Choice set 100 (freq.)",64000,178.7,29.4,0.964820691695011,10
"Choice set 100 (freq.)",64500,173.9,31.9,0.95848231153026,10
"Choice set 100 (freq.)",65000,169.5,34.4,0.95517355133132,10
"Choice set 100 (freq.)",65500,164.6,37.3,0.953121595322832,10
"Choice set 100 (freq.)",66000,159.7,41.9,0.949965906945358,10
"Choice set 100 (freq.)",66500,155.6,46.3,0.942547379801872,10
"Choice set 100 (freq.)",67000,151.2,50.7,0.946530185824641,10
"Choice set 100 (freq.)",67500,148,56.6,0.931990173163826,10
"Choice set 100 (freq.)",68000,144.1,61.9,0.927605284272346,10
"Choice set 100 (freq.)",68500,139.4,67.9,0.927404036815473,10
"Choice set 100 (freq.)",69000,132.9,75,0.922343568418554,10
"Choice set 100 (freq.)",69500,126.9,83.2,0.908465476634777,10
"Choice set 100 (freq.)",70000,120.2,95.9,0.897745799014621,10
"Choice set 100 (freq.)",70500,114.6,111,0.877207035401341,10
"Choice set 100 (freq.)",71000,108.6,129.4,0.863559623209365,10
"Choice set 100 (freq.)",71500,101.7,148.8,0.859110873964337,10
"Choice set 100 (freq.)",72000,95.3,172.7,0.844105813339018,10
"Choice set 100 (freq.)",72500,90.3,197.7,0.831369649998007,10
"Choice set 100 (freq.)",73000,85.1,231.9,0.813215129861069,10
"Choice set 100 (freq.)",73500,79.6,268.6,0.801626828165636,10
"Choice set 100 (freq.)",74000,74.4,310.3,0.801275446060552,10
"Choice set 100 (freq.)",74500,69.3,351.2,0.80174083363422,10
"Choice set 100 (freq.)",75000,65.4,387.7,0.825526247146872,10
"Choice set 100 (freq.)",75500,60.8,409.8,0.867560858515066,10
"Choice set 100 (freq.)",76000,62.7777777777778,369,0.843748374536842,9
"Choice set 100 (freq.)",76500,59.1111111111111,399.333333333333,0.843331536386862,9
"Choice set 100 (freq.)",77000,55.3333333333333,420.888888888889,0.864184574404536,9
"Choice set 100 (freq.)",77500,57,371.75,0.854872206585497,8
