"halflife_label","active","n","reached50","reached90","reached99","med50","med90","med99","mean50","mean90","mean99"
"No decay","Active",30,30,30,28,7517,10367.5,12758,7562.6,10844.2,13073.4642857143
"No decay","Passive",30,30,30,30,14851,34381.5,55814,14872.1333333333,34150.2,55270.9
"t1/2=20000","Active",30,30,30,26,7589,10670.5,13700,7928.9,11384,13290.8846153846
"t1/2=20000","Passive",30,30,30,30,16141.5,39802.5,74310.5,16166.2333333333,39784.6333333333,75155.0333333333
"t1/2=5000","Active",30,30,30,28,7775.5,10012,11303,7824.36666666667,10559.7666666667,12359.0714285714
"t1/2=5000","Passive",30,30,30,30,19803,63236,139282.5,19909.1333333333,62985.4333333333,139354.866666667
"t1/2=1000","Active",30,30,30,30,10310,13136.5,14510.5,11005.1666666667,15101.6666666667,17656.4666666667
"t1/2=1000","Passive",30,30,30,30,49325,297240,815432,49866.9333333333,299541.233333333,831841.9
"t1/2=200","Active",30,30,30,30,21981.5,26269,27059,23869.4,32012.0333333333,35422.3
"t1/2=200","Passive",30,30,0,0,412968.5,NA,NA,416299.233333333,NA,NA
