"k","pool","mean50","mean90","mean99"
"100","freq",82873.3666666667,84449.8,87477.9
"100","uniform",12327.9,13582.8666666667,15124.2333333333
"20","freq",159341.566666667,161529.566666667,178896.466666667
"20","uniform",10495.6,11743.5666666667,15893.7
"5","freq",83999.7,90032.2666666667,163910.4
"5","uniform",8031.1,9592.06666666667,23211
"unrestricted","--",13315.5666666667,14576.4,15876.3333333333
