"dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","episodes","censored","model","C","M","a","active","uniform","fam_context","cell_elapsed_secs","sweep","active_prob","active_policy","choice_k_label"
1663,3643,5826,8594,11868,15737,21076,26820,38561,86658,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1860,4029,6333,8729,12519,16350,21218,28707,42381,88162,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1930,3750,6032,8761,11685,14914,19893,26449,39450,85388,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1962,3878,6110,8614,11398,14955,20237,28774,42297,91099,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1920,4130,6424,8894,12154,16275,21005,27390,40581,92782,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1905,3608,5818,8615,11418,15425,20578,28812,39715,77939,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1641,3860,6205,9008,12130,16086,21254,27938,43054,98327,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1902,3714,6309,8940,12034,15749,20563,28134,41054,97706,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1775,3938,6152,8567,10909,15376,19970,27787,41452,85045,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1994,3899,6333,8811,11655,15995,20839,27356,40741,79037,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1753,4004,6314,8840,12268,16042,20702,27914,40161,83291,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1997,4036,5917,8579,11555,15031,20737,27391,38193,76172,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1949,3935,6017,9216,12778,16748,21435,28514,39665,82656,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1906,3896,5959,8464,11154,14888,20366,27290,40906,81182,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1598,3806,5986,8969,12620,15805,20482,28162,40799,82741,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1709,3888,6355,8815,11816,15402,19634,26977,39594,84071,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1630,3250,5713,9059,12685,16427,20456,26559,37680,77177,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1699,3702,6539,9432,12361,16563,21170,28295,41484,87427,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
2026,3904,6333,8767,11466,15662,20623,26914,40222,89982,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1910,3797,5822,8272,11443,15118,20173,27551,39777,92069,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1538,3653,6425,8830,12202,15493,20913,27965,41988,98870,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1727,3678,6047,8633,11863,15645,20896,27940,41423,78718,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1940,4056,6376,9064,11579,14956,19729,26867,39406,88914,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1819,3309,5886,8509,11338,15587,20266,26341,38767,81680,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1792,3703,6070,8785,12277,16561,21776,29441,43008,95993,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1853,3959,6618,9025,12097,16096,21245,27083,40777,88629,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1623,3420,5436,7912,10955,14835,20519,27920,39207,82638,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1910,3811,6142,9124,12247,15267,19793,27599,38769,98530,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1706,3834,6107,8172,11691,15647,20867,27605,39993,99846,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1605,3274,4902,6741,8623,10573,12697,15208,17664,21071,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1716,3304,4766,6709,8631,10989,12885,15735,18322,21795,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1534,3320,5226,7031,8824,10616,12733,14793,17301,20426,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1479,3380,4981,6838,9047,11086,13536,16009,18720,21355,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1494,3016,4745,6409,8666,10721,13078,15752,18874,21685,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1577,3310,5276,6975,8913,11307,13546,16410,19881,22798,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1650,3166,4852,6756,8603,10671,12736,15735,18230,21241,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1568,3037,4817,6767,8695,10709,12824,15559,18356,20983,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1794,3322,5143,7011,8605,10882,12994,15452,18275,21209,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1441,2908,4595,6345,8030,10136,12460,14444,17164,20131,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
