"dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","episodes","censored","model","C","M","a","active","uniform","fam_context","cell_elapsed_secs","sweep","active_prob","active_policy","choice_k_label"
970,2190,3557,5070,6584,8889,10670,13051,15297,18011,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1244,2604,4047,5653,7510,9315,11392,13747,16328,17926,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
943,2291,3876,5697,7568,9329,11259,13919,15952,17818,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1004,2102,3421,4626,6000,7680,9586,11631,14091,16086,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1369,2751,4179,5594,7042,9002,11742,14932,18120,23817,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1289,2528,3776,5636,7197,8890,10735,13382,16243,19298,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1190,2398,3712,5323,7008,9179,11203,13670,16296,18633,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
939,1989,3289,4958,6651,8765,10845,13467,16146,18426,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1434,2807,4171,5695,7616,9603,11905,14145,16393,17952,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
887,2215,3692,5588,7558,9348,11742,14322,16444,18631,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1192,2189,3407,4719,6276,7836,9892,11872,14108,17950,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1154,2344,3833,5310,6921,8648,10604,12618,14713,16479,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
940,2121,3448,5051,6708,8683,10425,12767,15242,17493,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1059,2047,3583,4864,6504,8557,10282,11864,13658,15606,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
970,2137,3530,4881,6538,8229,10353,12357,14210,15629,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1153,2496,3795,5041,6911,8761,10470,12279,14164,16355,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1186,2361,3761,5336,6911,9074,11011,13121,15384,17260,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1025,2056,3333,4820,6370,8748,10846,13387,15091,16675,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1178,2343,4001,5665,7179,9235,11609,13938,16715,18966,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1183,2427,3579,5393,6943,8997,11221,13781,15335,17272,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
993,2179,3482,4877,6393,7823,9624,11800,13709,14789,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1254,2406,4069,5928,7686,9969,12357,14319,17126,20357,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1064,2374,3766,4959,6728,8306,10110,12097,14366,16177,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1056,2157,3512,5433,7404,9138,11562,14134,17833,21657,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1029,2093,3757,5058,6773,8589,10494,12099,14087,15954,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
940,2230,3501,4853,6204,7880,9822,11791,13892,15685,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1287,2485,4009,5715,7497,9400,11354,13897,16582,17927,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1001,2147,3814,5468,7210,9242,11809,14544,18081,20898,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1327,2651,3968,5790,7465,9455,11291,13495,15869,17474,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1257,2590,4146,5777,7752,10008,12636,15096,17349,20435,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1019,2142,3436,5065,6786,8785,11471,14180,17925,27991,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
917,2064,3425,4782,6585,8712,11449,14178,17331,19467,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1118,2411,3518,5136,6549,8466,10410,12424,14777,17066,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1116,2325,3867,5208,6852,8761,10894,14146,19593,30663,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1241,2310,3689,4904,6949,9073,11762,14410,18278,19935,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1326,2511,3762,4964,6668,8242,10625,12644,15482,18015,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1222,2419,3903,5583,7271,9254,11590,14613,18911,22384,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
994,2098,3387,4556,6219,7998,10066,12358,14660,16483,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1228,2310,3900,5620,7429,9869,12724,15383,19231,30211,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1182,2280,3717,5008,6867,8910,11565,14642,18832,32613,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1243,2725,3957,5407,7257,9397,11510,14733,19392,27816,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1014,2191,3711,5372,7349,9254,10978,13422,16120,17535,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1130,2268,3783,5249,6924,8684,11105,13979,17060,20910,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1290,2504,3876,5497,7145,9357,11726,14789,19145,28534,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1109,2465,3954,5506,7394,9132,10764,12744,14664,16347,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
909,2257,3778,5255,7020,8870,11093,13565,16516,18338,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1094,2448,3702,4945,6515,8321,10001,11834,14257,16021,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1644,3208,4855,6415,8615,10576,12949,14977,17457,19884,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1037,2110,3501,5378,7522,9812,12201,14933,19476,25461,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1227,2411,3756,5163,6779,9122,10980,12761,14881,16826,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1018,2345,3413,5007,6500,8684,10719,12472,14805,17157,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1169,2368,3519,4715,6302,8064,10064,11959,13761,15491,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1264,2562,4338,6076,7965,10287,12326,14681,17458,19370,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1083,2583,4247,5774,7443,9175,10868,12665,15242,17482,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1044,2224,3445,4901,6546,8208,10060,11991,14253,15994,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1045,2248,3500,4961,6564,8720,11118,13288,16770,22541,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1270,2414,3882,5225,6643,8149,10098,11955,14159,15875,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1042,2370,3777,5428,7557,9294,10977,13677,16130,17488,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1206,2208,3775,5126,6944,8623,10564,13125,16173,18075,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1056,2078,3282,4671,6310,8297,10982,13199,15287,17225,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1274,2669,4086,5936,8117,10103,12652,14905,17161,21230,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1229,2442,3756,5464,7154,8663,11171,13066,15448,18019,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1317,2525,3914,5361,7013,8774,10645,13058,15125,16945,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1240,2470,3999,5452,7047,8852,10815,12836,15210,17817,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1312,2321,4015,5587,7536,9121,11348,14326,19504,31152,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1201,2449,3986,5303,7008,9040,11376,13888,17921,21210,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1073,2230,3915,5471,7159,8745,11285,14177,18380,29725,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1151,2542,4332,5841,7633,9615,12130,14578,17728,21838,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1100,2153,3392,4501,6052,7806,10255,13261,16333,17634,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
987,2080,3247,4923,6533,8247,10354,12639,14665,16367,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1115,2466,3848,5534,7268,8914,10890,12945,15063,16961,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1033,2368,3818,5506,7233,9278,11663,14134,18168,24299,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1069,2316,3738,5177,6512,8110,10003,11997,14158,16348,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1139,2286,3936,5336,6852,8839,11080,13811,16342,19730,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1290,2844,4229,5706,7416,9205,11541,13460,16467,19178,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1191,2579,4048,5420,7218,8986,10814,12627,14525,16194,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1138,2161,3427,4885,6666,8675,10814,13165,16542,18803,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1105,1979,3093,4460,6092,7579,9729,11808,13591,14850,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1051,2180,3370,4941,6606,8804,10986,13614,18103,30837,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1238,2584,3999,5713,7579,9768,12193,14733,18621,30695,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1126,2455,3887,5407,7191,8938,11895,14812,17837,19740,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1130,2533,4041,5474,7172,9083,10978,12815,15072,16509,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1287,2492,3993,5570,7280,9218,11259,13972,17081,27030,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1108,2356,3744,5111,7071,9082,11342,13507,16822,23569,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1308,2412,3989,5809,8120,10342,12563,15508,17417,18852,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
986,2097,3462,5051,6548,8087,9703,11567,13698,15569,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1202,2654,4033,5574,7015,9058,10745,12741,14741,16360,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1155,2258,3678,4983,6966,8821,10883,12843,15771,22059,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1076,2206,3712,5243,7083,8929,11380,13977,17049,19506,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1077,2181,3416,5178,6822,8575,10747,12941,14900,16566,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1198,2522,3859,5501,7103,8823,11400,14232,16830,19098,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1181,2346,4105,5430,6834,9033,11082,13587,15773,17695,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1085,2376,3681,5035,6971,8950,10980,13700,17482,19637,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1358,2639,4012,5710,7471,9385,11684,14209,18280,24093,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1192,2274,3481,5178,6679,8552,10110,11696,13479,14858,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1039,2237,3686,4923,6685,8417,10673,13467,17126,20820,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1264,2491,4165,5776,7403,9348,10886,13368,15856,18628,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1060,2181,3529,5182,6915,8762,11031,13315,16456,18548,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1269,2729,4566,6217,8239,9934,12361,15684,18807,21536,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1071,2167,3798,5292,7212,9438,11821,14235,18532,23278,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1035,2314,3913,5212,7133,9205,11165,13784,15955,18350,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1085,2324,3870,5538,7353,8926,10888,13003,14893,16520,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1191,2426,4102,5486,7006,8645,10340,12733,15251,18252,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1247,2406,3822,5259,7119,9153,11085,14183,18239,20651,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1016,2023,3182,4695,6220,7760,9644,11630,13822,15221,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1220,2671,4030,5738,7279,9001,10981,13356,16472,21171,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1157,2385,4220,5943,7959,9990,12516,14959,17318,19056,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1163,2309,3572,4809,6184,7820,9657,11437,13863,15695,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1296,2544,3820,5362,7122,9032,11063,13117,15346,17563,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1107,2331,3955,5348,7095,8844,11126,13957,16386,17931,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1137,2236,3465,4885,6392,8155,10281,12458,15715,22275,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1104,2580,4065,5992,7724,9428,11908,14406,17880,20347,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1074,2420,3712,5252,6685,8446,10747,13230,15785,18002,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1202,2630,4001,5188,6943,9170,11880,15010,19423,30005,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1092,2460,3605,5040,6724,8301,10272,12265,14846,18257,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1114,2153,3343,4785,6369,7886,9508,11299,13396,15497,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1179,2608,3941,5554,7169,8768,10776,12667,14811,16096,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1128,2416,3930,5534,7118,8766,10422,12363,14260,16010,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1023,2358,3987,5484,7284,9329,11591,13880,17645,21553,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1124,2456,3774,4974,6433,8333,10719,13298,17972,22309,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1184,2459,4030,5433,7277,9265,11404,13469,15936,17448,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1013,2351,3758,5378,7113,8837,10773,12666,14025,16048,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
965,2147,3220,4516,6120,8095,10091,12068,14207,15766,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1314,2508,3792,5191,6760,8575,10481,12157,14024,15809,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1142,2485,3848,5399,7120,8893,11041,13529,17597,23313,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1085,2309,3796,5481,6872,8726,10569,13026,16526,19270,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1148,2445,4062,5966,7614,9196,10985,13179,15000,16138,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1159,2650,4007,5599,7571,9610,12121,14368,16513,18193,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1060,2318,3589,5078,7066,9146,11744,13949,15406,16965,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1234,2466,3932,5614,7330,9154,10937,12824,15359,17594,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1238,2448,3777,5552,7427,9139,11580,14138,18828,28134,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1023,2099,3500,5191,7145,8911,11404,13493,15652,18121,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1055,2253,3790,5071,6902,8952,11030,13116,16543,25034,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1143,2498,4122,5664,7190,8963,11054,13240,16531,19620,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1125,2430,4115,5685,7349,9366,12124,14949,18571,23216,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1188,2355,3855,5561,7682,9215,11436,13373,15831,17426,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
906,2159,3478,4852,6353,8312,10211,12390,14646,16034,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1102,2233,3542,5022,6660,8166,10653,13448,17374,26256,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1270,2497,3948,5598,7559,9578,12702,15284,20081,22683,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1084,2284,3636,5113,6612,8653,11493,14063,16577,18855,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1375,2511,3901,5567,7107,8759,11079,13360,15583,19040,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1118,2233,3566,5239,7408,9212,11309,13570,15774,17791,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1159,2271,3639,5523,7167,8836,11092,13348,15654,16945,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1249,2589,4031,5612,7411,9179,11282,13696,17687,28082,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1137,2259,3639,4974,6506,8110,9722,11154,13405,15084,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1061,2158,3531,5235,6997,8782,11011,13291,16003,18004,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1035,2386,3771,5148,6926,8821,10648,13211,16803,21155,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1125,2134,3538,4779,6627,8367,10866,13431,15800,18735,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1190,2383,3853,5285,7207,9269,11407,14220,17601,27653,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1229,2282,3943,5508,7362,9326,11343,13461,15400,16883,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1173,2312,3735,5538,7185,9551,12155,15307,19012,26258,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1304,2267,3955,5483,6974,8878,10954,13143,16130,17798,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1057,2241,3488,5070,6549,8062,9790,11970,14284,16022,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
865,2190,3497,5242,6653,8962,11172,13714,15966,17526,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1137,2260,3682,5134,7362,9536,11921,14328,17930,29767,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
935,2326,3896,5520,7457,9535,11967,14431,17792,27267,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
989,2066,3564,5036,6655,8658,11084,13599,16466,18633,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1142,2326,3591,4954,6815,8661,10920,13678,17149,24586,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
796,1917,3672,5137,6904,9134,11499,14362,18643,31802,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
1017,2249,3768,5219,6934,8685,11215,13408,16764,24776,0,"guesstest",10,1000,1,"Passive","Zipfian","Random",61.8375251293182,"active_prob",0.1,"unknown","Inf"
