"","0.5","0.9","0.99","final_frac","total_cost"
"passive",10386,60719.3666666667,151670.566666667,1,318741.6
"active_moveon_mc0",2779.16666666667,5642.6,6528.26666666667,1,6725.23333333333
"active_linger_mc0",3124.56666666667,6510.56666666667,7514.56666666667,1,7737.33333333333
"active_moveon_mc1",5558.33333333333,11285.2,13056.5333333333,1,13450.4666666667
"active_linger_mc1",5482.56666666667,11587.0333333333,13461.1,1,13895.1
"active_moveon_mc3",11116.6666666667,22570.4,26113.0666666667,1,26900.9333333333
"active_linger_mc3",10198.5666666667,21739.9666666667,25354.1666666667,1,26210.6333333333
"active_moveon_mc10",30570.8333333333,62068.6,71810.9333333333,1,73977.5666666667
"active_linger_mc10",26704.5666666667,57275.2333333333,66979.9,1,69315
