"active","n","n_censored","mean50","mean90","mean99","median99","se99"
"Active",200,0,686345.89,686347.615,686349.275,441212.5,46827.8439690039
"Passive",200,0,771043.915,771079.415,771125.08,572126,49686.5598840463
