"active","n","n_censored","mean50","mean90","mean99","med50","med90","med99"
"Active",30,0,86728,140252.833333333,175307.133333333,87729,143577.5,178736.5
"Passive",30,0,103259.1,199453.633333333,309536.5,102969.5,199906,283006
