"seen_only","label","n_censored","mean50","mean99","se99","ratio_to_unrestricted","weighting"
FALSE,"Choice set 100 (freq.)",0,84670.6,89316.1,707.987585692188,5.6636236430045,"original (all words)"
FALSE,"Choice set 100 (uniform)",0,12386.5666666667,15095.6666666667,94.4499908220404,0.957231390983801,"original (all words)"
FALSE,"Choice set 20 (freq.)",0,159741.966666667,176771.366666667,1799.28470748305,11.2092499746356,"original (all words)"
FALSE,"Goldilocks",0,6809.9,9018.36666666667,68.2455418666621,0.57186369170415,"original (all words)"
FALSE,"Passive",0,27379.1,466338.833333333,27259.0858969651,29.5710139842403,"original (all words)"
FALSE,"Unrestricted active",0,13200.4333333333,15770.1333333333,101.826048801667,1,"original (all words)"
TRUE,"Choice set 100 (freq.)",0,5547.4,10492.5333333333,136.243365194005,1.34471960800229,"seen words only"
TRUE,"Choice set 100 (uniform)",0,5134.73333333333,7874.06666666667,44.2703017479917,1.00913778446107,"seen words only"
TRUE,"Choice set 20 (freq.)",0,5625.56666666667,25899.7333333333,956.879720679012,3.31930127347992,"seen words only"
TRUE,"Goldilocks",0,4830.06666666667,7255.4,55.0681416963116,0.929849668707253,"seen words only"
TRUE,"Passive",0,18936.2,451566.733333333,21709.0333569185,57.8726434640704,"seen words only"
TRUE,"Unrestricted active",0,5126.7,7802.76666666667,55.649037403936,1,"seen words only"
