scene,rater1,rater2,rater3,rater4,rater5,mean,variance,,,,,
dacha                        ,3,3,2,3,3,2.8,0.2,,,,,
deck-house_boat_deck_house   ,3,3,3,2,3,2.8,0.2,,,,,
deck-house_deck_house        ,3,3,3,2,3,2.8,0.2,,,,,
embassy                      ,3,3,2,3,3,2.8,0.2,,,,,
fairway                      ,3,3,2,3,3,2.8,0.2,,,,,
great_hall                   ,3,3,3,2,3,2.8,0.2,,,,,
hacienda                     ,3,3,3,2,3,2.8,0.2,,,,,
harbor                       ,3,3,3,2,3,2.8,0.2,,,,,
jetty                        ,3,3,3,2,3,2.8,0.2,,,,,
joss_house                   ,3,3,3,2,3,2.8,0.2,,,,,
lagoon                       ,3,3,3,2,3,2.8,0.2,,,,,
lighthouse                   ,3,3,3,2,3,2.8,0.2,,,,,
marsh                        ,3,3,3,2,3,2.8,0.2,,,,,
piste_road                   ,3,3,3,2,3,2.8,0.2,,,,,
quonset_hut/indoor           ,3,3,3,2,3,2.8,0.2,,,,,
quonset_hut/outdoor          ,3,3,3,2,3,2.8,0.2,,,,,
roundhouse                   ,3,3,3,2,3,2.8,0.2,,,,,
shed                         ,3,3,3,3,2,2.8,0.2,,,,,
stable                       ,3,3,3,3,2,2.8,0.2,,,,,
television_studio            ,3,3,3,2,3,2.8,0.2,,,,,
temple/east_asia             ,3,3,3,2,3,2.8,0.2,,,,,
temple/south_asia            ,3,3,3,2,3,2.8,0.2,,,,,
temple/western               ,3,3,3,2,3,2.8,0.2,,,,,
zen_garden                   ,3,3,3,2,3,2.8,0.2,,,,,
bistro/indoor                ,4,3,3,2,2,2.8,0.7,,,,,
bistro/outdoor               ,4,3,3,2,2,2.8,0.7,,,,,
bomb_shelter/indoor          ,4,3,2,2,3,2.8,0.7,,,,,
bookshelf                    ,4,3,2,2,3,2.8,0.7,,,,,
chapel                       ,4,2,3,3,2,2.8,0.7,,,,,
coffee_shop                  ,4,3,2,2,3,2.8,0.7,,,,,
creek                        ,4,2,3,3,2,2.8,0.7,,,,,
dance_floor                  ,4,3,2,2,3,2.8,0.7,,,,,
diving_board                 ,3,2,3,4,2,2.8,0.7,,,,,
field/cultivated             ,4,2,3,3,2,2.8,0.7,,,,,
field_house                  ,4,2,3,3,2,2.8,0.7,,,,,
fjord                        ,4,2,3,3,2,2.8,0.7,,,,,
floating_dock                ,3,2,4,3,2,2.8,0.7,,,,,
forest/broadleaf             ,4,2,3,3,2,2.8,0.7,,,,,
forest/needleleaf            ,4,2,3,3,2,2.8,0.7,,,,,
forest_path                  ,4,2,3,3,2,2.8,0.7,,,,,
glade                        ,4,2,3,3,2,2.8,0.7,,,,,
greenhouse/indoor            ,4,2,3,3,2,2.8,0.7,,,,,
greenhouse/outdoor           ,4,2,3,3,2,2.8,0.7,,,,,
grove                        ,4,2,3,3,2,2.8,0.7,,,,,
hayfield                     ,4,2,3,3,2,2.8,0.7,,,,,
hearth                       ,4,2,3,3,2,2.8,0.7,,,,,
herb_garden                  ,4,2,3,3,2,2.8,0.7,,,,,
hill                         ,4,2,3,3,2,2.8,0.7,,,,,
hillock                      ,4,2,3,3,2,2.8,0.7,,,,,
hollow                       ,4,2,3,3,2,2.8,0.7,,,,,
hospital_room                ,4,3,2,2,3,2.8,0.7,,,,,
locker_room                  ,4,2,3,3,2,2.8,0.7,,,,,
mansion                      ,4,2,3,2,3,2.8,0.7,,,,,
mess_hall                    ,4,2,3,3,2,2.8,0.7,,,,,
mezzanine                    ,4,2,3,3,2,2.8,0.7,,,,,
nook                         ,4,3,2,2,3,2.8,0.7,,,,,
pasture                      ,4,3,2,2,3,2.8,0.7,,,,,
pond                         ,4,2,3,3,2,2.8,0.7,,,,,
poolroom/home                ,4,2,2,3,3,2.8,0.7,,,,,
portrait_studio              ,4,2,3,3,2,2.8,0.7,,,,,
putting_green                ,4,2,3,3,2,2.8,0.7,,,,,
skyscraper                   ,3,2,3,2,4,2.8,0.7,,,,,
slum                         ,2,4,3,3,2,2.8,0.7,,,,,
snowfield                    ,3,2,3,4,2,2.8,0.7,,,,,
stall                        ,4,3,2,2,3,2.8,0.7,,,,,
strand                       ,4,3,2,2,3,2.8,0.7,,,,,
teahouse                     ,4,2,3,3,2,2.8,0.7,,,,,
tearoom                      ,4,2,3,3,2,2.8,0.7,,,,,
ticket_booth                 ,4,2,3,3,2,2.8,0.7,,,,,
topiary_garden               ,4,2,3,3,2,2.8,0.7,,,,,
tree_farm                    ,4,2,3,3,2,2.8,0.7,,,,,
underwater/ocean_shallow     ,3,2,4,3,2,2.8,0.7,,,,,
valley                       ,4,2,3,3,2,2.8,0.7,,,,,
bank/indoor                  ,4,2,2,2,4,2.8,1.2,,,,,
bank/outdoor                 ,4,2,2,2,4,2.8,1.2,,,,,
veranda                      ,4,3,3,1,3,2.8,1.2,,,,,
art_studio                   ,5,2,2,3,2,2.8,1.7,,,,,
banquet_hall                 ,3,2,2,2,5,2.8,1.7,,,,,
bathhouse                    ,4,2,3,1,4,2.8,1.7,,,,,
bathhouse_outdoor            ,4,2,3,1,4,2.8,1.7,,,,,
hut                          ,5,2,3,2,2,2.8,1.7,,,,,
motel                        ,5,2,3,2,2,2.8,1.7,,,,,
parkway                      ,5,2,3,2,2,2.8,1.7,,,,,
artists_loft                 ,3,3,2,2,3,2.6,0.3,,,,,
auto_showroom                ,3,3,2,2,3,2.6,0.3,,,,,
basin_outdoor                ,3,3,3,2,2,2.6,0.3,,,,,
batters_box                  ,3,2,2,3,3,2.6,0.3,,,,,
bicycle_racks                ,2,3,2,3,3,2.6,0.3,,,,,
bow_window/indoor            ,3,3,2,2,3,2.6,0.3,,,,,
bow_window/outdoor           ,3,3,2,2,3,2.6,0.3,,,,,
cemetery                     ,3,3,2,2,3,2.6,0.3,,,,,
cubicle/library              ,3,2,3,3,2,2.6,0.3,,,,,
dairy/indoor                 ,2,3,3,2,3,2.6,0.3,,,,,
dairy/outdoor                ,2,3,3,2,3,2.6,0.3,,,,,
dock                         ,3,2,3,3,2,2.6,0.3,,,,,
dugout                       ,3,2,3,3,2,2.6,0.3,,,,,
fabric_store                 ,3,2,3,3,2,2.6,0.3,,,,,
fence                        ,3,2,3,3,2,2.6,0.3,,,,,
flatlet                      ,3,3,2,2,3,2.6,0.3,,,,,
flume_indoor                 ,3,2,3,3,2,2.6,0.3,,,,,
fly_bridge                   ,3,2,3,3,2,2.6,0.3,,,,,
forecourt                    ,3,2,3,3,2,2.6,0.3,,,,,
foreshore                    ,3,2,3,3,2,2.6,0.3,,,,,
freeway                      ,2,3,2,3,3,2.6,0.3,,,,,
geodesic_dome/indoor         ,3,2,3,3,2,2.6,0.3,,,,,
geodesic_dome/outdoor        ,3,2,3,3,2,2.6,0.3,,,,,
grape_arbor                  ,3,2,3,3,2,2.6,0.3,,,,,
hayloft                      ,3,2,3,3,2,2.6,0.3,,,,,
heronry                      ,3,2,3,3,2,2.6,0.3,,,,,
highway                      ,2,3,2,3,3,2.6,0.3,,,,,
kennel/indoor                ,3,3,2,2,3,2.6,0.3,,,,,
kennel/outdoor               ,3,3,2,2,3,2.6,0.3,,,,,
laboratorywet                ,2,3,2,3,3,2.6,0.3,,,,,
landing                      ,3,2,3,3,2,2.6,0.3,,,,,
layby                        ,3,2,3,3,2,2.6,0.3,,,,,
loggia/outdoor               ,3,2,3,3,2,2.6,0.3,,,,,
mission                      ,3,2,3,3,2,2.6,0.3,,,,,
oast_house                   ,3,2,3,2,3,2.6,0.3,,,,,
observation_station          ,3,2,3,2,3,2.6,0.3,,,,,
observatory/indoor           ,3,2,3,3,2,2.6,0.3,,,,,
observatory/outdoor          ,3,2,3,3,2,2.6,0.3,,,,,
observatory_post             ,3,2,3,2,3,2.6,0.3,,,,,
outcropping                  ,3,2,3,3,2,2.6,0.3,,,,,
parking_garage/indoor        ,3,2,3,3,2,2.6,0.3,,,,,
parking_garage/outdoor       ,3,2,3,3,2,2.6,0.3,,,,,
parking_lot                  ,3,2,3,3,2,2.6,0.3,,,,,
passage/outdoor              ,3,3,2,2,3,2.6,0.3,,,,,
pitchers_mound               ,3,2,3,3,2,2.6,0.3,,,,,
print_shop                   ,3,2,3,2,3,2.6,0.3,,,,,
ramp                         ,3,2,3,3,2,2.6,0.3,,,,,
rectory                      ,3,2,3,3,2,2.6,0.3,,,,,
revolving_door               ,3,2,3,3,2,2.6,0.3,,,,,
salon                        ,3,2,3,3,2,2.6,0.3,,,,,
semidesert                   ,3,2,3,2,3,2.6,0.3,,,,,
sewing_room                  ,3,2,3,2,3,2.6,0.3,,,,,
shelter_tent                 ,3,3,3,2,2,2.6,0.3,,,,,
shrine                       ,3,2,3,2,3,2.6,0.3,,,,,
stone_circle                 ,3,2,3,3,2,2.6,0.3,,,,,
storm_cellar                 ,2,3,2,3,3,2.6,0.3,,,,,
sushi_bar                    ,3,2,2,3,3,2.6,0.3,,,,,
tract_housing                ,3,3,2,2,3,2.6,0.3,,,,,
waterscape                   ,3,2,3,3,2,2.6,0.3,,,,,
wetland                      ,3,2,3,2,3,2.6,0.3,,,,,
wheat_field                  ,3,2,3,2,3,2.6,0.3,,,,,
windmill                     ,3,2,3,3,2,2.6,0.3,,,,,
ballroom                     ,3,2,2,2,4,2.6,0.8,,,,,
baptistry/indoor             ,4,2,2,3,2,2.6,0.8,,,,,
breakroom                    ,4,2,3,2,2,2.6,0.8,,,,,
bullpen                      ,3,3,3,1,3,2.6,0.8,,,,,
car_interior/frontseat       ,4,2,2,3,2,2.6,0.8,,,,,
carport/freestanding         ,4,2,2,3,2,2.6,0.8,,,,,
carport/indoor               ,4,2,2,3,2,2.6,0.8,,,,,
carport/outdoor              ,4,2,2,3,2,2.6,0.8,,,,,
crosswalk                    ,2,2,3,4,2,2.6,0.8,,,,,
field/wild                   ,4,2,3,2,2,2.6,0.8,,,,,
field_tent_indoor            ,3,2,4,2,2,2.6,0.8,,,,,
field_tent_outdoor           ,3,2,4,2,2,2.6,0.8,,,,,
forest_road                  ,4,2,3,2,2,2.6,0.8,,,,,
glen                         ,4,2,3,2,2,2.6,0.8,,,,,
golf_course                  ,4,2,3,2,2,2.6,0.8,,,,,
grotto                       ,4,2,3,2,2,2.6,0.8,,,,,
hot_spring                   ,4,2,3,2,2,2.6,0.8,,,,,
hot_tub/indoor               ,4,2,2,3,2,2.6,0.8,,,,,
hot_tub/outdoor              ,4,2,2,3,2,2.6,0.8,,,,,
jacuzzi/indoor               ,4,2,2,3,2,2.6,0.8,,,,,
jacuzzi/outdoor              ,4,2,2,3,2,2.6,0.8,,,,,
lean-to                      ,4,2,3,2,2,2.6,0.8,,,,,
lean-to_tent                 ,4,2,3,2,2,2.6,0.8,,,,,
lookout_station/indoor       ,3,3,3,1,3,2.6,0.8,,,,,
lookout_station/outdoor      ,3,3,3,1,3,2.6,0.8,,,,,
moor                         ,4,2,3,2,2,2.6,0.8,,,,,
nursing_home                 ,4,2,2,3,2,2.6,0.8,,,,,
nursing_home_outdoor         ,4,2,2,3,2,2.6,0.8,,,,,
oasis                        ,4,2,3,2,2,2.6,0.8,,,,,
outhouse/indoor              ,4,2,3,2,2,2.6,0.8,,,,,
outhouse/outdoor             ,4,2,3,2,2,2.6,0.8,,,,,
pagoda                       ,4,2,3,2,2,2.6,0.8,,,,,
penthouse                    ,4,2,3,2,2,2.6,0.8,,,,,
plantation_house             ,4,2,3,2,2,2.6,0.8,,,,,
preserve                     ,4,2,3,2,2,2.6,0.8,,,,,
security_check_point         ,3,2,2,2,4,2.6,0.8,,,,,
shelter                      ,3,3,3,3,1,2.6,0.8,,,,,
shelter_deck                 ,3,3,3,3,1,2.6,0.8,,,,,
squash_court                 ,4,2,3,2,2,2.6,0.8,,,,,
tea_garden                   ,4,2,3,2,2,2.6,0.8,,,,,
temple/mesoamerican          ,3,3,3,1,3,2.6,0.8,,,,,
vestibule                    ,4,2,3,2,2,2.6,0.8,,,,,
vestry                       ,4,2,3,2,2,2.6,0.8,,,,,
victory_garden               ,4,2,3,2,2,2.6,0.8,,,,,
vineyard                     ,4,2,2,3,2,2.6,0.8,,,,,
access_road                  ,3,3,2,1,4,2.6,1.3,,,,,
bakery/kitchen               ,3,4,3,2,1,2.6,1.3,,,,,
pub/outdoor                  ,4,3,2,1,3,2.6,1.3,,,,,
abbey                        ,4,2,2,1,4,2.6,1.8,,,,,
vinery                       ,5,2,2,2,2,2.6,1.8,,,,,
archive                      ,3,2,3,2,2,2.4,0.3,,,,,
backdrop                     ,3,2,2,3,2,2.4,0.3,,,,,
backroom                     ,3,2,3,2,2,2.4,0.3,,,,,
backstage                    ,3,2,3,2,2,2.4,0.3,,,,,
bottomland                   ,3,2,3,2,2,2.4,0.3,,,,,
bulkhead                     ,3,2,3,2,2,2.4,0.3,,,,,
butchers_shop                ,3,2,2,3,2,2.4,0.3,,,,,
butte                        ,3,2,2,3,2,2.4,0.3,,,,,
caravansary                  ,2,3,2,2,3,2.4,0.3,,,,,
cavern/indoor                ,2,3,2,2,3,2.4,0.3,,,,,
cavern/outdoor               ,2,3,2,2,3,2.4,0.3,,,,,
chicken_coop/indoor          ,3,2,2,3,2,2.4,0.3,,,,,
chicken_coop/outdoor         ,3,2,2,3,2,2.4,0.3,,,,,
choir_loft/exterior          ,3,2,2,3,2,2.4,0.3,,,,,
choir_loft/interior          ,3,2,2,3,2,2.4,0.3,,,,,
clean_room                   ,2,2,3,3,2,2.4,0.3,,,,,
cockpit                      ,2,3,2,2,3,2.4,0.3,,,,,
courthouse                   ,3,2,2,3,2,2.4,0.3,,,,,
covered_bridge/exterior      ,3,2,3,2,2,2.4,0.3,,,,,
covered_bridge/interior      ,3,2,3,2,2,2.4,0.3,,,,,
dirt_track                   ,3,2,3,2,2,2.4,0.3,,,,,
donjon                       ,3,2,3,2,2,2.4,0.3,,,,,
dress_shop                   ,3,2,3,2,2,2.4,0.3,,,,,
estaminet                    ,3,2,2,3,2,2.4,0.3,,,,,
feed_bunk                    ,3,2,3,2,2,2.4,0.3,,,,,
field_road                   ,3,2,3,2,2,2.4,0.3,,,,,
fireplace                    ,3,2,3,2,2,2.4,0.3,,,,,
flashflood                   ,3,2,2,3,2,2.4,0.3,,,,,
floating_dry_dock            ,3,2,3,2,2,2.4,0.3,,,,,
flood_plain                  ,3,2,2,3,2,2.4,0.3,,,,,
gorge                        ,2,2,3,3,2,2.4,0.3,,,,,
guildhall                    ,3,2,3,2,2,2.4,0.3,,,,,
gulch                        ,3,2,3,2,2,2.4,0.3,,,,,
hat_shop                     ,3,2,3,2,2,2.4,0.3,,,,,
hatchway                     ,3,2,3,2,2,2.4,0.3,,,,,
hen_yard                     ,3,2,3,2,2,2.4,0.3,,,,,
hutment                      ,3,2,3,2,2,2.4,0.3,,,,,
ice_shelf                    ,2,3,2,2,3,2.4,0.3,,,,,
islet                        ,3,2,3,2,2,2.4,0.3,,,,,
jewelry_shop                 ,3,2,3,2,2,2.4,0.3,,,,,
jungle                       ,3,2,3,2,2,2.4,0.3,,,,,
lift_bridge                  ,3,2,3,2,2,2.4,0.3,,,,,
loge                         ,3,2,3,2,2,2.4,0.3,,,,,
mastaba                      ,3,2,3,2,2,2.4,0.3,,,,,
mausoleum                    ,2,3,2,2,3,2.4,0.3,,,,,
medina                       ,3,2,3,2,2,2.4,0.3,,,,,
megalith                     ,3,2,3,2,2,2.4,0.3,,,,,
mens_store_outdoor           ,3,2,3,2,2,2.4,0.3,,,,,
merlon                       ,3,2,3,2,2,2.4,0.3,,,,,
mews                         ,3,2,3,2,2,2.4,0.3,,,,,
millpond                     ,3,2,3,2,2,2.4,0.3,,,,,
millrace                     ,3,2,3,2,2,2.4,0.3,,,,,
moat/dry                     ,3,2,3,2,2,2.4,0.3,,,,,
moat/water                   ,3,2,3,2,2,2.4,0.3,,,,,
mountain                     ,3,2,3,2,2,2.4,0.3,,,,,
mountain_path                ,3,2,3,2,2,2.4,0.3,,,,,
mountain_road                ,3,2,3,2,2,2.4,0.3,,,,,
mudflat                      ,3,2,3,2,2,2.4,0.3,,,,,
music_studio                 ,3,2,3,2,2,2.4,0.3,,,,,
one-way_street               ,2,2,3,3,2,2.4,0.3,,,,,
outbuilding                  ,3,2,2,3,2,2.4,0.3,,,,,
palestra                     ,3,2,3,2,2,2.4,0.3,,,,,
pallet/indoor                ,3,2,3,2,2,2.4,0.3,,,,,
parlor                       ,3,2,3,2,2,2.4,0.3,,,,,
perfume_shop                 ,3,2,3,2,2,2.4,0.3,,,,,
phone_booth                  ,3,2,3,2,2,2.4,0.3,,,,,
pinetum                      ,3,2,3,2,2,2.4,0.3,,,,,
poop_deck                    ,3,2,2,3,2,2.4,0.3,,,,,
portico                      ,3,2,3,2,2,2.4,0.3,,,,,
postern                      ,3,2,3,2,2,2.4,0.3,,,,,
powder_room                  ,3,2,3,2,2,2.4,0.3,,,,,
priory                       ,3,2,3,2,2,2.4,0.3,,,,,
racecourse                   ,3,2,3,2,2,2.4,0.3,,,,,
raceway                      ,3,2,3,2,2,2.4,0.3,,,,,
rainforest                   ,3,2,3,2,2,2.4,0.3,,,,,
rift_valley                  ,3,2,3,2,2,2.4,0.3,,,,,
root_cellar                  ,3,2,2,3,2,2.4,0.3,,,,,
sauna                        ,3,2,2,3,2,2.4,0.3,,,,,
savanna                      ,3,2,3,2,2,2.4,0.3,,,,,
science_laboratory           ,3,2,2,3,2,2.4,0.3,,,,,
scriptorium                  ,3,2,3,2,2,2.4,0.3,,,,,
scullery                     ,2,3,3,2,2,2.4,0.3,,,,,
ski_jump                     ,3,2,3,2,2,2.4,0.3,,,,,
spa/massage_room             ,3,2,2,2,3,2.4,0.3,,,,,
spa/mineral_bath             ,3,2,2,2,3,2.4,0.3,,,,,
storage_room                 ,3,2,2,2,3,2.4,0.3,,,,,
tower                        ,3,2,3,2,2,2.4,0.3,,,,,
trestle_bridge               ,3,2,3,2,2,2.4,0.3,,,,,
underwater/coral_reef        ,3,2,2,3,2,2.4,0.3,,,,,
waterfall/cascade            ,2,2,3,3,2,2.4,0.3,,,,,
waterway                     ,2,2,3,2,3,2.4,0.3,,,,,
wave                         ,2,2,3,3,2,2.4,0.3,,,,,
wharf                        ,3,2,3,2,2,2.4,0.3,,,,,
wind_farm                    ,3,2,2,2,3,2.4,0.3,,,,,
wrestling_ring/indoor        ,3,2,3,2,2,2.4,0.3,,,,,
ziggurat                     ,3,2,2,3,2,2.4,0.3,,,,,
aqueduct                     ,3,3,2,1,3,2.4,0.8,,,,,
artists_loft/questionable    ,3,3,2,1,3,2.4,0.8,,,,,
beer_garden                  ,3,3,2,1,3,2.4,0.8,,,,,
brickyard/indoor             ,2,2,4,2,2,2.4,0.8,,,,,
brickyard/outdoor            ,2,2,4,2,2,2.4,0.8,,,,,
canal/natural                ,3,3,2,1,3,2.4,0.8,,,,,
canal/urban                  ,3,3,2,1,3,2.4,0.8,,,,,
dam                          ,1,3,3,2,3,2.4,0.8,,,,,
seawall                      ,2,2,2,2,4,2.4,0.8,,,,,
suite                        ,2,3,3,1,3,2.4,0.8,,,,,
cybercafe                    ,4,2,2,2,2,2.4,0.8,,,,,
formal_garden                ,4,2,2,2,2,2.4,0.8,,,,,
home_office                  ,4,2,2,2,2,2.4,0.8,,,,,
monastery/indoor             ,4,2,2,2,2,2.4,0.8,,,,,
monastery/outdoor            ,4,2,2,2,2,2.4,0.8,,,,,
nunnery                      ,4,2,2,2,2,2.4,0.8,,,,,
optician                     ,4,2,2,2,2,2.4,0.8,,,,,
poolroom/establishment       ,4,2,2,2,2,2.4,0.8,,,,,
rice_paddy                   ,4,2,2,2,2,2.4,0.8,,,,,
traffic_island               ,4,2,2,2,2,2.4,0.8,,,,,
backwoods                    ,4,1,3,2,2,2.4,1.3,,,,,
scrubland                    ,4,2,3,2,1,2.4,1.3,,,,,
student_residence            ,4,2,3,1,2,2.4,1.3,,,,,
anechoic_chamber             ,3,2,2,2,2,2.2,0.2,,,,,
apse/indoor                  ,3,2,2,2,2,2.2,0.2,,,,,
apse/outdoor                 ,3,2,2,2,2,2.2,0.2,,,,,
archaelogical_excavation     ,3,2,2,2,2,2.2,0.2,,,,,
backstage_outdoor            ,3,2,2,2,2,2.2,0.2,,,,,
chaparral                    ,3,2,2,2,2,2.2,0.2,,,,,
chicken_farm/indoor          ,3,2,2,2,2,2.2,0.2,,,,,
chicken_farm/outdoor         ,3,2,2,2,2,2.2,0.2,,,,,
chuck_wagon                  ,3,2,2,2,2,2.2,0.2,,,,,
cloister/indoor              ,3,2,2,2,2,2.2,0.2,,,,,
cloister/outdoor             ,3,2,2,2,2,2.2,0.2,,,,,
conference_center            ,3,2,2,2,2,2.2,0.2,,,,,
conference_hall              ,3,2,2,2,2,2.2,0.2,,,,,
conference_room              ,3,2,2,2,2,2.2,0.2,,,,,
confessional                 ,3,2,2,2,2,2.2,0.2,,,,,
courtroom                    ,3,2,2,2,2,2.2,0.2,,,,,
cubicle/office               ,3,2,2,2,2,2.2,0.2,,,,,
customhouse                  ,3,2,2,2,2,2.2,0.2,,,,,
ditch                        ,3,2,2,2,2,2.2,0.2,,,,,
driving_range/indoor         ,3,2,2,2,2,2.2,0.2,,,,,
driving_range/outdoor        ,3,2,2,2,2,2.2,0.2,,,,,
dry_dock                     ,3,2,2,2,2,2.2,0.2,,,,,
embankment                   ,3,2,2,2,2,2.2,0.2,,,,,
fort                         ,3,2,2,2,2,2.2,0.2,,,,,
fortress                     ,3,2,2,2,2,2.2,0.2,,,,,
gangplank                    ,3,2,2,2,2,2.2,0.2,,,,,
howdah                       ,3,2,2,2,2,2.2,0.2,,,,,
hunting_lodge/indoor         ,3,2,2,2,2,2.2,0.2,,,,,
hunting_lodge/outdoor        ,3,2,2,2,2,2.2,0.2,,,,,
inlet                        ,3,2,2,2,2,2.2,0.2,,,,,
limousine_interior           ,3,2,2,2,2,2.2,0.2,,,,,
mansard                      ,3,2,2,2,2,2.2,0.2,,,,,
mental_institution/indoor    ,3,2,2,2,2,2.2,0.2,,,,,
mental_institution/outdoor   ,3,2,2,2,2,2.2,0.2,,,,,
morass                       ,3,2,2,2,2,2.2,0.2,,,,,
orlop_deck                   ,3,2,2,2,2,2.2,0.2,,,,,
pilothouse/indoor            ,3,2,2,2,2,2.2,0.2,,,,,
pilothouse/outdoor           ,3,2,2,2,2,2.2,0.2,,,,,
pulpit                       ,3,2,2,2,2,2.2,0.2,,,,,
refectory                    ,3,2,2,2,2,2.2,0.2,,,,,
repair_shop                  ,3,2,2,2,2,2.2,0.2,,,,,
taxistand                    ,3,2,2,2,2,2.2,0.2,,,,,
taxiway                      ,3,2,2,2,2,2.2,0.2,,,,,
throne_room                  ,3,2,2,2,2,2.2,0.2,,,,,
truck_stop                   ,3,2,2,2,2,2.2,0.2,,,,,
velodrome/indoor             ,3,2,2,2,2,2.2,0.2,,,,,
velodrome/outdoor            ,3,2,2,2,2,2.2,0.2,,,,,
bypass                       ,2,2,2,3,2,2.2,0.2,,,,,
crevasse                     ,2,2,3,2,2,2.2,0.2,,,,,
desert/sand                  ,2,2,3,2,2,2.2,0.2,,,,,
desert/vegetation            ,2,2,3,2,2,2.2,0.2,,,,,
desert_road                  ,2,2,3,2,2,2.2,0.2,,,,,
flying_buttress              ,2,2,3,2,2,2.2,0.2,,,,,
glacier                      ,2,2,2,3,2,2.2,0.2,,,,,
hangar/indoor                ,2,2,3,2,2,2.2,0.2,,,,,
hangar/outdoor               ,2,2,3,2,2,2.2,0.2,,,,,
heliport                     ,2,2,3,2,2,2.2,0.2,,,,,
jetliner/outside             ,2,2,3,2,2,2.2,0.2,,,,,
jumbo_jet/outdoor            ,2,2,3,2,2,2.2,0.2,,,,,
meat_house                   ,2,2,3,2,2,2.2,0.2,,,,,
open-hearth_furnace          ,2,2,2,3,2,2.2,0.2,,,,,
quadrangle                   ,2,2,3,2,2,2.2,0.2,,,,,
rain-wash                    ,2,2,3,2,2,2.2,0.2,,,,,
restaurant_kitchen           ,2,2,3,2,2,2.2,0.2,,,,,
road_cut                     ,2,2,3,2,2,2.2,0.2,,,,,
rock_arch                    ,2,2,3,2,2,2.2,0.2,,,,,
roundabout                   ,2,2,3,2,2,2.2,0.2,,,,,
ruin                         ,2,2,2,3,2,2.2,0.2,,,,,
sea_cliff                    ,2,2,2,3,2,2.2,0.2,,,,,
signal_box                   ,2,2,3,2,2,2.2,0.2,,,,,
spillway                     ,2,2,3,2,2,2.2,0.2,,,,,
swamp                        ,2,2,3,2,2,2.2,0.2,,,,,
water_mill                   ,2,2,3,2,2,2.2,0.2,,,,,
waterfall/block              ,2,2,2,3,2,2.2,0.2,,,,,
waterfall/fan                ,2,2,2,2,3,2.2,0.2,,,,,
workshop                     ,2,2,2,2,3,2.2,0.2,,,,,
wrestling_ring/outdoor       ,2,2,3,2,2,2.2,0.2,,,,,
boxing_ring                  ,2,3,1,2,3,2.2,0.7,,,,,
bullring                     ,1,3,2,2,3,2.2,0.7,,,,,
catacomb                     ,2,3,1,2,3,2.2,0.7,,,,,
dolmen                       ,3,2,3,1,2,2.2,0.7,,,,,
gatehouse                    ,3,2,3,1,2,2.2,0.7,,,,,
granary                      ,3,2,3,1,2,2.2,0.7,,,,,
hatchery                     ,3,2,3,1,2,2.2,0.7,,,,,
imaret                       ,3,2,3,1,2,2.2,0.7,,,,,
lower_deck                   ,3,2,3,1,2,2.2,0.7,,,,,
mill                         ,3,2,3,1,2,2.2,0.7,,,,,
rotisserie                   ,2,3,2,1,3,2.2,0.7,,,,,
shrubbery                    ,3,2,3,2,1,2.2,0.7,,,,,
weighbridge                  ,3,2,3,1,2,2.2,0.7,,,,,
widows_walk_indoor           ,1,2,3,2,3,2.2,0.7,,,,,
winery                       ,3,2,2,1,3,2.2,0.7,,,,,
air_base                     ,2,2,1,2,4,2.2,1.2,,,,,
estuary                      ,3,1,3,3,1,2.2,1.2,,,,,
hoodoo                       ,3,1,3,3,1,2.2,1.2,,,,,
luggage_van                  ,4,2,2,1,2,2.2,1.2,,,,,
penalty_box                  ,3,1,3,3,1,2.2,1.2,,,,,
pub/indoor                   ,4,2,2,1,2,2.2,1.2,,,,,
pumping_station              ,4,2,2,1,2,2.2,1.2,,,,,
shipyard/outdoor             ,2,2,2,1,4,2.2,1.2,,,,,
airfield                     ,1,1,2,2,5,2.2,2.7,,,,,
belfry                       ,2,2,2,2,2,2,0,,,,,
berth                        ,2,2,2,2,2,2,0,,,,,
berth_deck                   ,2,2,2,2,2,2,0,,,,,
bric-a-brac                  ,2,2,2,2,2,2,0,,,,,
byroad                       ,2,2,2,2,2,2,0,,,,,
car_dealership               ,2,2,2,2,2,2,0,,,,,
cheese_factory               ,2,2,2,2,2,2,0,,,,,
cloakroom/room               ,2,2,2,2,2,2,0,,,,,
clock_tower/indoor           ,2,2,2,2,2,2,0,,,,,
darkroom                     ,2,2,2,2,2,2,0,,,,,
editing_room                 ,2,2,2,2,2,2,0,,,,,
escarpment                   ,2,2,2,2,2,2,0,,,,,
fire_station                 ,2,2,2,2,2,2,0,,,,,
fish_farm                    ,2,2,2,2,2,2,0,,,,,
funeral_chapel               ,2,2,2,2,2,2,0,,,,,
funeral_home                 ,2,2,2,2,2,2,0,,,,,
grave                        ,2,2,2,2,2,2,0,,,,,
junk_pile                    ,2,2,2,2,2,2,0,,,,,
junkyard                     ,2,2,2,2,2,2,0,,,,,
landing_deck                 ,2,2,2,2,2,2,0,,,,,
operating_room               ,2,2,2,2,2,2,0,,,,,
operating_table              ,2,2,2,2,2,2,0,,,,,
organ_loft/exterior          ,2,2,2,2,2,2,0,,,,,
organ_loft/interior          ,2,2,2,2,2,2,0,,,,,
oyster_farm                  ,2,2,2,2,2,2,0,,,,,
pig_farm                     ,2,2,2,2,2,2,0,,,,,
police_station               ,2,2,2,2,2,2,0,,,,,
