scene,rater1,rater2,rater3,rater4,rater5,mean,variance,,,,,
volleyball_court/outdoor     ,4,4,4,3,4,3.8,0.2,,,,,
airport_ticket_counter       ,4,4,3,3,5,3.8,0.7,,,,,
bath_outdoor                 ,4,3,3,5,4,3.8,0.7,,,,,
bedroom                      ,5,3,3,4,4,3.8,0.7,,,,,
bookstore                    ,5,4,3,3,4,3.8,0.7,,,,,
bus_interior                 ,5,4,3,3,4,3.8,0.7,,,,,
food_court                   ,5,3,4,4,3,3.8,0.7,,,,,
hedge_maze                   ,5,4,3,3,4,3.8,0.7,,,,,
lavatory                     ,5,4,3,3,4,3.8,0.7,,,,,
library/indoor               ,5,4,3,3,4,3.8,0.7,,,,,
library/outdoor              ,5,4,3,3,4,3.8,0.7,,,,,
loo                          ,5,4,3,3,4,3.8,0.7,,,,,
market/indoor                ,5,4,3,3,4,3.8,0.7,,,,,
market/outdoor               ,5,4,3,3,4,3.8,0.7,,,,,
rest_area                    ,5,4,3,3,4,3.8,0.7,,,,,
rest_stop                    ,5,4,3,3,4,3.8,0.7,,,,,
restaurant_patio             ,5,4,3,3,4,3.8,0.7,,,,,
television_room              ,5,3,4,4,3,3.8,0.7,,,,,
train_interior               ,5,4,3,3,4,3.8,0.7,,,,,
underwater/pool              ,4,3,4,5,3,3.8,0.7,,,,,
water_fountain               ,4,3,4,5,3,3.8,0.7,,,,,
house                        ,5,3,3,5,3,3.8,1.2,,,,,
living_room                  ,5,3,3,5,3,3.8,1.2,,,,,
shower_room                  ,5,3,3,5,3,3.8,1.2,,,,,
stadium/baseball             ,5,4,4,4,2,3.8,1.2,,,,,
stadium/football             ,5,4,4,4,2,3.8,1.2,,,,,
student_center               ,5,3,3,5,3,3.8,1.2,,,,,
airplane_cabin               ,5,3,2,5,4,3.8,1.7,,,,,
bleachers/indoor             ,5,3,4,5,2,3.8,1.7,,,,,
bleachers/outdoor            ,5,3,4,5,2,3.8,1.7,,,,,
amphitheater                 ,4,4,3,3,4,3.6,0.3,,,,,
amphitheater_indoor          ,4,4,3,3,4,3.6,0.3,,,,,
arch                         ,3,4,3,4,4,3.6,0.3,,,,,
dinette/home                 ,3,4,3,4,4,3.6,0.3,,,,,
farm                         ,4,4,3,3,4,3.6,0.3,,,,,
general_store/indoor         ,4,4,3,3,4,3.6,0.3,,,,,
general_store/outdoor        ,4,4,3,3,4,3.6,0.3,,,,,
gift_shop                    ,3,4,4,3,4,3.6,0.3,,,,,
handball_court               ,4,3,4,4,3,3.6,0.3,,,,,
laundromat                   ,4,4,3,3,4,3.6,0.3,,,,,
ranch                        ,4,4,3,3,4,3.6,0.3,,,,,
ranch_house                  ,4,4,3,3,4,3.6,0.3,,,,,
sporting_goods_store         ,4,3,4,4,3,3.6,0.3,,,,,
store                        ,4,4,3,3,4,3.6,0.3,,,,,
art_school                   ,5,3,3,4,3,3.6,0.8,,,,,
assembly_hall                ,4,3,3,5,3,3.6,0.8,,,,,
auditorium                   ,5,3,3,4,3,3.6,0.8,,,,,
back_porch                   ,5,3,3,4,3,3.6,0.8,,,,,
ballet                       ,4,3,3,3,5,3.6,0.8,,,,,
barbeque                     ,4,4,4,4,2,3.6,0.8,,,,,
bedchamber                   ,5,3,3,3,4,3.6,0.8,,,,,
boat_deck                    ,5,4,3,3,3,3.6,0.8,,,,,
brooklet                     ,5,3,4,3,3,3.6,0.8,,,,,
dance_school                 ,5,3,3,4,3,3.6,0.8,,,,,
ferryboat/passenger_deck     ,5,3,3,4,3,3.6,0.8,,,,,
hammock                      ,5,3,4,3,3,3.6,0.8,,,,,
home_theater                 ,5,3,4,3,3,3.6,0.8,,,,,
hotel/outdoor                ,5,3,3,4,3,3.6,0.8,,,,,
