C           M    episodes          sd      active     uniform  fam_context    reps 
50.00000   100.00000  1037.61000    33.89583     1.00000     0.00000 1.00000   100.00000 
50.0000    200.0000   1083.6900     17.7438      1.0000      0.0000 1.0000    100.0000 
50.00000   500.00000  1841.83000    14.76554     1.00000     0.00000 1.00000   100.00000 
50.00000  1000.00000  3160.06000    16.44201     1.00000     0.00000 1.00000   100.00000 
100.00000   200.00000  2404.18000    48.63872     1.00000     0.00000 1.00000   100.00000 
100.00000   500.00000  2700.66000    23.24191     1.00000     0.00000 1.00000   100.00000 
100.00000  1000.00000  4079.85000    24.70774     1.00000     0.00000  1.00000   100.00000 
200.00000   500.00000  5111.54000    59.42373     1.00000     0.00000  1.00000   100.00000 
200.00000  1000.00000  5979.12000    30.43001     1.00000     0.00000 1.00000   100.00000 
400.000     500.000   28076.630     608.496       1.000       0.000 1.000     100.000 
400.00000  1000.00000 11386.01000    81.96039     1.00000     0.00000 1.00000   100.00000 
800.000    1000.000   62071.110     988.754       1.000       0.000 1.000     100.000 
